0357T,cryopreservation oocyte(s)
9659,Other irrigation of wound
966,Enteral infusion of concentrated nutritional substances
9670,Continuous invasive mechanical ventilation of unspecified duration
9671,Continuous invasive mechanical ventilation for less than 96 consecutive hours
9672,Continuous invasive mechanical ventilation for 96 consecutive hours or more
9701,Replacement of (naso-)gastric or esophagostomy tube
9702,Replacement of gastrostomy tube
9703,Replacement of tube or enterostomy device of small intestine
9704,Replacement of tube or enterostomy device of large intestine
9705,Replacement of stent (tube) in biliary or pancreatic duct
9711,Replacement of cast on upper limb
9712,Replacement of cast on lower limb
9713,Replacement of other cast
9714,Replacement of other device for musculoskeletal immobilization
9715,Replacement of wound catheter
9716,Replacement of wound packing or drain
9721,Replacement of nasal packing
9722,Replacement of dental packing
9723,Replacement of tracheostomy tube
9724,Replacement and refitting of vaginal diaphragm
9725,Replacement of other vaginal pessary
9726,Replacement of vaginal or vulvar packing or drain
9729,Other nonoperative replacements
9731,Removal of eye prosthesis
9732,Removal of nasal packing
9733,Removal of dental wiring
9734,Removal of dental packing
9735,Removal of dental prosthesis
9736,Removal of other external mandibular fixation device
9737,Removal of tracheostomy tube
9738,Removal of sutures from head and neck
9739,Removal of other therapeutic device from head and neck
9741,Removal of thoracotomy tube or pleural cavity drain
9742,Removal of mediastinal drain
9743,Removal of sutures from thorax
9744,Nonoperative removal of heart assist system
9749,Removal of other device from thorax
9751,Removal of gastrostomy tube
9752,Removal of tube from small intestine
9753,Removal of tube from large intestine or appendix
9754,Removal of cholecystostomy tube
9755,"Removal of T-tube, other bile duct tube, or liver tube"
9756,Removal of pancreatic tube or drain
9759,Removal of other device from digestive system
9761,Removal of pyelostomy and nephrostomy tube
9762,Removal of ureterostomy tube and ureteral catheter
9763,Removal of cystostomy tube
9764,Removal of other urinary drainage device
9765,Removal of urethral stent
9769,Removal of other device from urinary system
9771,Removal of intrauterine contraceptive device
9772,Removal of intrauterine pack
9773,Removal of vaginal diaphragm
9774,Removal of other vaginal pessary
9775,Removal of vaginal or vulvar packing
9779,Removal of other device from genital tract
9781,Removal of retroperitoneal drainage device
9782,Removal of peritoneal drainage device
9783,Removal of abdominal wall sutures
9784,"Removal of sutures from trunk, not elsewhere classified"
9785,"Removal of packing from trunk, not elsewhere classified"
9786,Removal of other device from abdomen
9787,Removal of other device from trunk
9788,Removal of external immobilization device
9789,Removal of other therapeutic device
9801,Removal of intraluminal foreign body from mouth without incision
9802,Removal of intraluminal foreign body from esophagus without incision
9803,Removal of intraluminal foreign body from stomach and small intestine without incision
9804,Removal of intraluminal foreign body from large intestine without incision
9805,Removal of intraluminal foreign body from rectum and anus without incision
9811,Removal of intraluminal foreign body from ear without incision
9812,Removal of intraluminal foreign body from nose without incision
9813,Removal of intraluminal foreign body from pharynx without incision
9814,Removal of intraluminal foreign body from larynx without incision
9815,Removal of intraluminal foreign body from trachea and bronchus without incision
9816,Removal of intraluminal foreign body from uterus without incision
9817,Removal of intraluminal foreign body from vagina without incision
9818,Removal of intraluminal foreign body from artificial stoma without incision
9819,Removal of intraluminal foreign body from urethra without incision
9820,"Removal of foreign body, not otherwise specified"
9821,Removal of superficial foreign body from eye without incision
9822,Removal of other foreign body without incision from head and neck
9823,Removal of foreign body from vulva without incision
9824,Removal of foreign body from scrotum or penis without incision
9825,"Removal of other foreign body without incision from trunk except scrotum, penis, or vulva"
9826,Removal of foreign body from hand without incision
9827,"Removal of foreign body without incision from upper limb, except hand"
9828,Removal of foreign body from foot without incision
9829,"Removal of foreign body without incision from lower limb, except foot"
9851,"Extracorporeal shockwave lithotripsy [ESWL] of the kidney, ureter and/or bladder"
9852,Extracorporeal shockwave lithotripsy [ESWL] of the gallbladder and/or bile duct
9859,Extracorporeal shockwave lithotripsy of other sites
9900,Perioperative autologous transfusion of whole blood or blood components
9901,Exchange transfusion
9902,Transfusion of previously collected autologous blood
9903,Other transfusion of whole blood
9904,Transfusion of packed cells
9905,Transfusion of platelets
9906,Transfusion of coagulation factors
9907,Transfusion of other serum
9908,Transfusion of blood expander
9909,Transfusion of other substance
9910,Injection or infusion of thrombolytic agent
9911,Injection of Rh immune globulin
9912,Immunization for allergy
9913,Immunization for autoimmune disease
9914,Injection or infusion of immunoglobulin
9915,Parenteral infusion of concentrated nutritional substances
9916,Injection of antidote
9917,Injection of insulin
9918,Injection or infusion of electrolytes
9919,Injection of anticoagulant
9920,Injection or infusion of platelet inhibitor
9921,Injection of antibiotic
9922,Injection of other anti-infective
9923,Injection of steroid
9924,Injection of other hormone
9925,Injection or infusion of cancer chemotherapeutic substance
9926,Injection of tranquilizer
9927,Iontophoresis
9928,Injection or infusion of biological response modifier [BRM] as an antineoplastic agent
9929,Injection or infusion of other therapeutic or prophylactic substance
9931,Vaccination against cholera
9932,Vaccination against typhoid and paratyphoid fever
9933,Vaccination against tuberculosis
9934,Vaccination against plague
9935,Vaccination against tularemia
9936,Administration of diphtheria toxoid
9937,Vaccination against pertussis
9938,Administration of tetanus toxoid
9939,"Administration of diphtheria-tetanus-pertussis, combined"
9941,Administration of poliomyelitis vaccine
9942,Vaccination against smallpox
9943,Vaccination against yellow fever
9944,Vaccination against rabies
9945,Vaccination against measles
9946,Vaccination against mumps
9947,Vaccination against rubella
9948,Administration of measles-mumps-rubella vaccine
9951,Prophylactic vaccination against the common cold
9952,Prophylactic vaccination against influenza
9953,Prophylactic vaccination against arthropod-borne viral encephalitis
9954,Prophylactic vaccination against other arthropod-borne viral diseases
9955,Prophylactic administration of vaccine against other diseases
9956,Administration of tetanus antitoxin
9957,Administration of botulism antitoxin
9958,Administration of other antitoxins
9959,Other vaccination and inoculation
9960,"Cardiopulmonary resuscitation, not otherwise specified"
9961,Atrial cardioversion
9962,Other electric countershock of heart
9963,Closed chest cardiac massage
9964,Carotid sinus stimulation
9969,Other conversion of cardiac rhythm
9971,Therapeutic plasmapheresis
9972,Therapeutic leukopheresis
9973,Therapeutic erythrocytapheresis
9974,Therapeutic plateletpheresis
9975,Administration of neuroprotective agent
9976,Extracorporeal immunoadsorption
9977,Application or administration of an adhesion barrier substance
9978,Aquapheresis
9979,Other therapeutic apheresis
9981,Hypothermia (central) (local)
9982,Ultraviolet light therapy
9983,Other phototherapy
9984,Isolation
9985,Hyperthermia for treatment of cancer
9986,Non-invasive placement of bone growth stimulator
9988,Therapeutic photopheresis
9991,Acupuncture for anesthesia
9992,Other acupuncture
9993,Rectal massage (for levator spasm)
9994,Prostatic massage
9995,Stretching of foreskin
9996,Collection of sperm for artificial insemination
9997,Fitting of denture
9998,Extraction of milk from lactating breast
9999,Other miscellaneous procedures
0010,Cholera due to vibrio cholerae
0011,Cholera due to vibrio cholerae el tor
0019,"Cholera, unspecified"
0020,Typhoid fever
0021,Paratyphoid fever A
0022,Paratyphoid fever B
0023,Paratyphoid fever C
0029,"Paratyphoid fever, unspecified"
0030,Salmonella gastroenteritis
0031,Salmonella septicemia
00320,"Localized salmonella infection, unspecified"
00321,Salmonella meningitis
00322,Salmonella pneumonia
00323,Salmonella arthritis
00324,Salmonella osteomyelitis
00329,Other localized salmonella infections
0038,Other specified salmonella infections
0039,"Salmonella infection, unspecified"
0040,Shigella dysenteriae
0041,Shigella flexneri
0042,Shigella boydii
0043,Shigella sonnei
0048,Other specified shigella infections
0049,"Shigellosis, unspecified"
0050,Staphylococcal food poisoning
0051,Botulism food poisoning
0052,Food poisoning due to Clostridium perfringens (C. welchii)
0053,Food poisoning due to other Clostridia
0054,Food poisoning due to Vibrio parahaemolyticus
00581,Food poisoning due to Vibrio vulnificus
00589,Other bacterial food poisoning
0059,"Food poisoning, unspecified"
0060,Acute amebic dysentery without mention of abscess
0061,Chronic intestinal amebiasis without mention of abscess
0062,Amebic nondysenteric colitis
0063,Amebic liver abscess
0064,Amebic lung abscess
0065,Amebic brain abscess
0066,Amebic skin ulceration
0068,Amebic infection of other sites
0069,"Amebiasis, unspecified"
0070,Balantidiasis
0071,Giardiasis
0072,Coccidiosis
0073,Intestinal trichomoniasis
0074,Cryptosporidiosis
0075,Cyclosporiasis
0078,Other specified protozoal intestinal diseases
0079,Unspecified protozoal intestinal disease
00800,"Intestinal infection due to E. coli, unspecified"
00801,Intestinal infection due to enteropathogenic E. coli
